"","id","family_id","name","latitude","longitude"
"1","aban1242","atla1278","Abanyom",6.30619,8.63055
"2","abar1238","atla1278","Mungbam",6.5805,10.2267
"3","abee1242","atla1278","Abé",5.59682,-4.38497
"4","abid1235","atla1278","Abidji",5.65656,-4.58421
"5","abon1238","atla1278","Abon",6.90621,10.8769
"6","abro1238","atla1278","Abron",7.72094,-2.50289
"7","abua1244","atla1278","Abua",4.83057,6.61492
"8","abur1243","atla1278","Abure",5.21534,-3.64123
"9","abur1244","atla1278","Abureni",4.62301,6.50634
"10","adam1253","atla1278","Adamawa Fulfulde",8.140326,13.077338
"11","adan1247","atla1278","Adangme",5.9437,0.13243
"12","adan1248","atla1278","Adangbe",6.50546,0.727155
"13","adel1244","atla1278","Adele",8.16975,0.619185
"14","adio1239","atla1278","Adioukrou",5.38228,-4.52522
"15","afud1235","atla1278","Afudu",9.831149,11.296849
"16","agat1236","atla1278","Agatu",7.97915,7.71639
"17","aghe1239","atla1278","Aghem",6.38956,10.0807
"18","agoi1246","atla1278","Robambami",5.87953,8.21629
"19","agun1238","atla1278","Aguna",7.49256,1.74452
"20","agwa1247","atla1278","Agwagwune",5.81055,8.03166
"21","ahan1243","atla1278","Ahanta",4.85147,-1.94657
"22","ahan1244","atla1278","Àhàn",7.44139,6.00896
"23","ahwa1235","atla1278","Ndunic",9.17635,8.56205
"24","ajab1235","atla1278","Aja (Benin)",7.06634,1.64992
"25","akan1250","atla1278","Akan",6.34756,-1.33254
"26","akas1242","atla1278","Akaselem",8.8858,1.37035
"27","akeb1238","atla1278","Akebu",7.78365,0.77668
"28","akee1238","atla1278","Akye",8.59543,8.75768
"29","akoo1248","atla1278","Akoose",4.9243,9.65522
"30","akpa1238","atla1278","Akpa",7.32586,8.01629
"31","akpe1248","atla1278","Akpes",7.50256,5.95559
"32","akpo1243","atla1278","Akpondu",9.235232,8.545454
"33","akuk1235","atla1278","Akuku",7.40354,6.34264
"34","akum1238","atla1278","Akum",6.85716,9.96261
"35","akwa1248","atla1278","Akwa",-0.39897,15.4623
"36","alag1242","atla1278","Alago",8.34986,8.52085
"37","aleg1238","atla1278","Alege",6.59423,9.00394
"38","alii1240","atla1278","Ali",4.60014,18.0352
"39","alla1248","atla1278","Alladian",5.22371,-4.42647
"40","alum1246","atla1278","Arum",9.01513,8.55956
"41","amba1263","atla1278","Amba (Uganda)",0.81206,30.0014
"42","ambe1247","atla1278","Ambele",5.94043,9.62028
"43","ambo1249","atla1278","Ambo",7.07637,10.7798
"44","amoo1242","atla1278","Amo",10.3229,8.65405
"45","anaa1238","atla1278","Anaang",4.94832,7.57969
"46","anii1245","atla1278","Anii",9.11127,1.60169
"47","anim1239","atla1278","Animere",7.60385,0.41962
"48","anin1242","atla1278","Aninka",9.08,8.51
"49","anuf1239","atla1278","Anufo",10.2839,0.56021
"50","anyi1244","atla1278","Anyin Morofo",6.1627,-4.64232
"51","anyi1245","atla1278","Anyin",6.31781,-3.30532
