id,family_id,name,latitude,longitude
aheu1239,aust1305,Thavung,17.7655,104.229
alak1253,aust1305,Alak,15.5565,106.597
arem1240,aust1305,Arem,17.7672,105.928
asur1254,aust1305,Asuri,21.5721,83.4562
awac1238,aust1305,Lavia-Awalai-Damangnuo Awa,22.75,99.4833
bahn1262,aust1305,Bahnar,14.0476,108.471
bate1262,aust1305,Batek,4.8223,102.382
besi1244,aust1305,Besisi,2.717,101.676
bhum1234,aust1305,Bhumij,22.552,85.804
bijo1238,aust1305,Bijori,22.5904,84.1907
birh1242,aust1305,Birhor,23.585,85.5611
bitt1240,aust1305,Bit,21.3474,101.916
blan1242,aust1305,Blang,22.0092,99.7405
bodo1267,aust1305,Bodo Gadaba,18.3857,82.771
bola1249,aust1305,Bo-Maleng,18.18657,104.95342
boly1239,aust1305,Bolyu,24.7013,104.955
bond1245,aust1305,Bondo,19.1512,83.8141
bude1236,aust1305,Budeh Stieng,11.6917,106.691
buga1247,aust1305,Bugan,23.6124,104.963
bulo1242,aust1305,Bulo Stieng,11.9777,106.798
carn1240,aust1305,Car Nicobarese,9.18853,92.7671
cent1989,aust1305,Central Khmer,12.0515,105.015
cent1990,aust1305,Central Nicobarese,7.94812,93.3921
cent1992,aust1305,Central Mnong,12.6313,107.301
cent2314,aust1305,Central Chong,12.608611,102.270556
chat1270,aust1305,Chatong,15.65,107.1166
chau1258,aust1305,Chaura,8.45745,93.0331
chew1245,aust1305,Chewong,3.83331,102.081
chon1284,aust1305,Chong of Chanthaburi,12.5218,102.514
chra1242,aust1305,Chrau,10.8021,107.293
chut1247,aust1305,Chut,17.6819,105.773
cuaa1241,aust1305,Cua,15.1688,108.431
dakk1239,aust1305,Dakkang,15.6333,107.25
dana1252,aust1305,Danau,20.4957,96.998
east1236,aust1305,Eastern Katu,15.8553,107.644
east2330,aust1305,Eastern Lawa,19.0136,98.7613
east2332,aust1305,Eastern Bru,17.1311,105.671
east2333,aust1305,Eastern Mnong,12.3939,108.354
east2776,aust1305,Eastern Angkuic,23.480856,101.357664
gata1239,aust1305,Gata',18.6076,82.984
hala1252,aust1305,Halang,14.7862,107.457
hala1253,aust1305,Halang Doan,14.9704,107.86
hooo1248,aust1305,Ho,23.9596,87.1188
hree1244,aust1305,Hre,14.6308,108.694
hung1275,aust1305,Hung,18.7849,104.772
huuu1240,aust1305,Hu,22.0163,100.881
jahh1242,aust1305,Jah Hut,3.67619,102.291
jede1239,aust1305,Jedek,5.3,101.75
jeha1242,aust1305,Jehai,5.63695,101.541
jehh1245,aust1305,Jeh,15.2351,107.753
jeng1241,aust1305,Jeng,15.0392,107.147
juan1238,aust1305,Juang,21.2606,85.5845
jura1242,aust1305,Juray,19.091,84.1204
kaco1239,aust1305,Kaco',13.8274,107.257
kata1264,aust1305,Katang,16.1823,106.459
katu1273,aust1305,Katua,14.8971,108.293
kave1238,aust1305,Kavet,14.1796,106.586
kayo1245,aust1305,Kayong,14.9227,108.447
kens1248,aust1305,Kensiu,5.98085,101.026
khan1274,aust1305,Kháng,21.6624,103.736
khap1242,aust1305,Kha Phong,18.25,105
khar1287,aust1305,Kharia,22.3571,84.3922
khas1269,aust1305,Khasi,24.977,91.9998
khmu1256,aust1305,Khmu,20.2463,101.671
khue1238,aust1305,Khuen,21.0793,101.327
kint1239,aust1305,Kintaq,5.75004,101.277
koda1236,aust1305,Koda,23.234,87.479
koda1254,aust1305,Kodaku,23.5757,83.8454
koho1244,aust1305,Koho,11.6444,108.057
kolb1241,aust1305,Kol (Bangladesh),24.5318,88.337
kork1243,aust1305,Korku,21.8358,77.5541
korw1242,aust1305,Korwa,23.4102,83.8142
